Khumi Awa language	cka	0	su:"Khumi Awa language"
Mukri language	ckb	0	su:"Mukri language"
Anufo language	cko	0	su:"Anufo language"
Maa (Vietnam) language	cma	0	su:"Maa (Vietnam) language"
Maa (Southeastern Asia) language	cma	0	su:"Maa (Southeastern Asia) language"
Biat language	cmo	0	su:"Biat language"
Central Mnong language	cmo	0	su:"Central Mnong language"
Ahraing Khumi language	cnk	0	su:"Ahraing Khumi language"
Bohairic language	cop	0	su:"Bohairic language"
Chilean Sign Language language	csg	0	su:"Chilean Sign Language language"
Esuulaalu language	csk	0	su:"Esuulaalu language"
Costa Rican Sign Language language	csr	0	su:"Costa Rican Sign Language language"
Tiddim Chin language	ctd	0	su:"Tiddim Chin language"
Sicuane language	cui	0	su:"Sicuane language"
Zotung language	czt	0	su:"Zotung language"
Day (Chad) language	dai	0	su:"Day (Chad) language"
Santee language	dak	0	su:"Santee language"
Yankton language	dak	0	su:"Yankton language"
Kubachi language	dar	0	su:"Kubachi language"
Dabida language	dav	0	su:"Dabida language"
Begak language	dbj	0	su:"Begak language"
Dendi language	ddn	0	su:"Dendi language"
Chutiya language	der	0	su:"Chutiya language"
Dumagat (Casiguran) language	dgc	0	su:"Dumagat (Casiguran) language"
Wule language	dgi	0	su:"Wule language"
Jaipuri language	dhd	0	su:"Jaipuri language"
Himba language	dhm	0	su:"Himba language"
Dhodia language	dho	0	su:"Dhodia language"
Dargari language	dhr	0	su:"Dargari language"
Boni (French Guiana and Suriname) language	djk	0	su:"Boni (French Guiana and Suriname) language"
Bor (Dinka) language	dks	0	su:"Bor (Dinka) language"
Dalmatian (Romance) language	dlm	0	su:"Dalmatian (Romance) language"
Vegliote language	dlm	0	su:"Vegliote language"
Badakhshani language	drw	0	su:"Badakhshani language"
Danish Sign Language language	dsl	0	su:"Danish Sign Language language"
Dumagat (Umirey) language	due	0	su:"Dumagat (Umirey) language"
Dungra Bhil language	duh	0	su:"Dungra Bhil language"
Daza language	dzd	0	su:"Daza language"
Koniagmiut language	ems	0	su:"Koniagmiut language"
Chugach language	ems	0	su:"Chugach language"
Setu language	est	0	su:"Setu language"
Mulgi language	est	0	su:"Mulgi language"
Karksi language	est	0	su:"Karksi language"
Aglemiut language	esu	0	su:"Aglemiut language"
Solon language	evn	0	su:"Solon language"
Annobon language	fab	0	su:"Annobon language"
Kifuliru language	flr	0	su:"Kifuliru language"
Cajun French language	frc	0	su:"Cajun French language"
Vaudois language	frp	0	su:"Vaudois language"
Bororo (West Africa) language	fuv	0	su:"Bororo (West Africa) language"
Adiwasi Garasia language	gas	0	su:"Adiwasi Garasia language"
Gadaba (Dravidian) language	gau	0	su:"Gadaba (Dravidian) language"
Boran language	gax	0	su:"Boran language"
Gadaba (Munda) language	gbj	0	su:"Gadaba (Munda) language"
Gadi language	gbk	0	su:"Gadi language"
Gamit language	gbl	0	su:"Gamit language"
Parvati language	gbm	0	su:"Parvati language"
Yaghwatadaxa language	gdf	0	su:"Yaghwatadaxa language"
Gen-Gbe language	gej	0	su:"Gen-Gbe language"
Chitapavani language	gom	0	su:"Chitapavani language"
Kudali language	gom	0	su:"Kudali language"
Tilamuta language	gor	0	su:"Tilamuta language"
Parsi-Gujarati language	guj	0	su:"Parsi-Gujarati language"
Sea Islands Creole language	gul	0	su:"Sea Islands Creole language"
Marigl language	gvf	0	su:"Marigl language"
Gwa (Ghana) language	gwx	0	su:"Gwa (Ghana) language"
Yaayuwee language	gya	0	su:"Yaayuwee language"
Qottu language	hae	0	su:"Qottu language"
Hanga (Ghana) language	hag	0	su:"Hanga (Ghana) language"
Uwana language	hau	0	su:"Uwana language"
Black Hmong language	hea	0	su:"Black Hmong language"
Hua Hmong language	hmd	0	su:"Hua Hmong language"
Kapau language	hmt	0	su:"Kapau language"
Chattisgarhi language	hne	0	su:"Chattisgarhi language"
Hmong Njua language	hnj	0	su:"Hmong Njua language"
Cakavian language	hrv	0	su:"Cakavian language"
Székely language	hun	0	su:"Szekely language"
Chilliwack language	hur	0	su:"Chilliwack language"
Armenian, Modern language	hye	0	su:"Armenian, Modern language"
Iwaidji language	ibd	0	su:"Iwaidji language"
Ngwa language	ibo	0	su:"Ngwa language"
Ibani language	iby	0	su:"Ibani language"
Icelandic Sign Language language	icl	0	su:"Icelandic Sign Language language"
Idakho-Isukha-Tiriki language	ida	0	su:"Idakho-Isukha-Tiriki language"
Amganad Ifugao language	ifa	0	su:"Amganad Ifugao language"
Batad Ifugao language	ifb	0	su:"Batad Ifugao language"
Ayangan Ifugao language	ifb	0	su:"Ayangan Ifugao language"
