# LCSH data (09-09-2009)		
# Identifier	NameType	NameString
kbh	sn	Camsa language
cam	sn	Camuhi
cam	sn	Camuhi language
knm	sn	Canamari
knm	sn	Canamari language (Tucanoan)
quf	sn	Can?ari
quf	sn	Can?ari language
cbu	sn	Candoshi
cbu	sn	Candoshi language
ram	sn	Canella
ram	sn	Canella language
caz	sn	Canichana
caz	sn	Canichana language
yue	sn	Cantonese
yue	sn	Cantonese dialects
mlc	sn	Cao Lan
mlc	sn	Cao Lan language
kaq	sn	Capanahua
kaq	sn	Capanahua language
kea	sn	Cape Verde Creole
kea	sn	Cape Verde Creole dialect
cot	sn	Caquinte
cot	sn	Caquinte language
caq	sn	Car Nicobarese
caq	sn	Car Nicobarese language
cbc	sn	Carapana
cbc	sn	Carapana language (Tucanoan)
xcr	sn	Carian
xcr	sn	Carian language
car	sn	Carib
car	sn	Carib language
cal	sn	Carolinian
cal	sn	Carolinian language
rue	sn	Carpatho-Rusyn
rue	sn	Carpatho-Rusyn language
crx	sn	Carrier
crx	sn	Carrier language
cbr	sn	Cashibo
cbr	sn	Cashibo language
cbs	sn	Cashinawa
cbs	sn	Cashinawa language
cat	sn	Catalan
cat	sn	Catalan language
chc	sn	Catawba
chc	sn	Catawba language
cto	sn	Catio
cto	sn	Catio language
cau	sn	Caucasian languages
jqr	sn	Cauqui
jqr	sn	Cauqui language
cav	sn	Cavinen?o
cav	sn	Cavinen?o language
cbi	sn	Cayapa
cbi	sn	Cayapa language
txu	sn	Cayapo
txu	sn	Cayapo language
cay	sn	Cayuga
cay	sn	Cayuga language
cyb	sn	Cayuvava
cyb	sn	Cayuvava language
ceb	sn	Cebuano
ceb	sn	Cebuano language
xce	sn	Celtiberian
xce	sn	Celtiberian language
cel	sn	Celtic languages
bnc	sn	Central Bontoc
bnc	sn	Central Bontoc dialect
cmo	sn	Central Mnong
cmo	sn	Central Mnong language
poo	sn	Central Pomo
poo	sn	Central Pomo language
sml	sn	Central Sama
sml	sn	Central Sama language
syb	sn	Central Subanen
syb	sn	Central Subanen dialect
csu	sn	Central Sudanic languages
esu	sn	Central Yupik
esu	sn	Central Yupik language
cme	sn	Cerma
cme	sn	Cerma language
cbk	sn	Chabacano
cbk	sn	Chabacano language
cao	sn	Chacobo
cao	sn	Chacobo language
cdc	sn	Chadic languages
chg	sn	Chagatai
chg	sn	Chagatai language
sgw	sn	Chaha
sgw	sn	Chaha dialect
mvf	sn	Chahar
mvf	sn	Chahar dialect
nri	sn	Chakhesang
nri	sn	Chakhesang language
ccp	sn	Chakma
ccp	sn	Chakma language
atv	sn	Chalkandu
atv	sn	Chalkandu dialect
cja	sn	Cham
cjm	sn	Cham
cja	sn	Cham language
cjm	sn	Cham language
ceg	sn	Chamacoco
ceg	sn	Chamacoco language
cji	sn	Chamalal
cji	sn	Chamalal language
ccg	sn	Chamba Daka
ccg	sn	Chamba Daka language
lae	sn	Chamba Lahul?i
lae	sn	Chamba Lahul?i dialect
cdh	sn	Chambiali
cdh	sn	Chambiali language
can	sn	Chambri
can	sn	Chambri language
cmi	sn	Chami?
cmi	sn	Chami? language
cmc	sn	Chamic languages
ccc	sn	Chamicuro
ccc	sn	Chamicuro language
rab	sn	Chamling
rab	sn	Chamling language
cha	sn	Chamorro
cha	sn	Chamorro language
nbc	sn	Chang
nbc	sn	Chang language
chx	sn	Chantel
chx	sn	Chantel language
shy	sn	Chaouia
shy	sn	Chaouia language
hne	sn	Chattisgarhi
hne	sn	Chattisgarhi dialect
cbt	sn	Chayahuita
cbt	sn	Chayahuita language
che	sn	Chechen
che	sn	Chechen language
mrn	sn	Cheke Holo
mrn	sn	Cheke Holo language
ute	sn	Chemehuevi
ute	sn	Chemehuevi language
ady	sn	Chemgui
ady	sn	Chemgui dialect
cdm	sn	Chepang
cdm	sn	Chepang language
chr	sn	Cherokee
chr	sn	Cherokee language
arg	sn	Cheso
arg	sn	Cheso dialect
nya	sn	Chewa
nya	sn	Chewa dialect
chy	sn	Cheyenne
chy	sn	Cheyenne language
cip	sn	Chiapanec
cip	sn	Chiapanec language
chb	sn	Chibcha
chb	sn	Chibcha language
cba	sn	Chibchan languages
cic	sn	Chickasaw
cic	sn	Chickasaw language
cgg	sn	Chiga
cgg	sn	Chiga language
csg	sn	Chilean Sign
csg	sn	Chilean Sign Language
hur	sn	Chilliwack
hur	sn	Chilliwack dialect
cas	sn	Chimane
cas	sn	Chimane language
cid	sn	Chimariko
cid	sn	Chimariko language
cih	sn	Chinali
cih	sn	Chinali dialect
cnb	sn	Chinbon
cnb	sn	Chinbon language
zho	sn	Chinese
zho	sn	Chinese language
csl	sn	Chinese Sign
csl	sn	Chinese Sign Language
jiu	sn	Chino
jiy	sn	Chino
jiu	sn	Chino language
jiy	sn	Chino language
chh	sn	Chinook
chh	sn	Chinook language
cap	sn	Chipaya
cap	sn	Chipaya language
chp	sn	Chipewyan
chp	sn	Chipewyan language
cax	sn	Chiquito
cax	sn	Chiquito language
apm	sn	Chiricahua
apm	sn	Chiricahua language
gui	sn	Chiriguano
gui	sn	Chiriguano language
nhd	sn	Chiripa?
nhd	sn	Chiripa? dialect
gom	sn	Chitapavani
gom	sn	Chitapavani dialect
ctm	sn	Chitimacha
ctm	sn	Chitimacha language
coz	sn	Chocho
coz	sn	Chocho language
cho	sn	Choctaw
cho	sn	Choctaw language
cjk	sn	Chokwe
cjk	sn	Chokwe language
ctu	sn	Chol
ctu	sn	Chol language
cht	sn	Cholon
cht	sn	Cholon language
chd	sn	Chontal
clo	sn	Chontal
chd	sn	Chontal language
clo	sn	Chontal language
cuj	sn	Chontaquiro
cuj	sn	Chontaquiro language
cce	sn	Chopi
cce	sn	Chopi language
crt	sn	Choroti
crt	sn	Choroti language
caa	sn	Chorti
caa	sn	Chorti language
nct	sn	Chothe Naga
nct	sn	Chothe Naga language
crw	sn	Chrau
crw	sn	Chrau language
cjv	sn	Chuave
cjv	sn	Chuave language
ems	sn	Chugach
ems	sn	Chugach dialect
cac	sn	Chuj
cac	sn	Chuj language
ckt	sn	Chukchi
ckt	sn	Chukchi language
cag	sn	Chulupi?
cag	sn	Chulupi? language
clw	sn	Chulym
clw	sn	Chulym language
chs	sn	Chumash
chs	sn	Chumash language
chu	sn	Church Slavic
chu	sn	Church Slavic language
chk	sn	Chuukese
chk	sn	Chuukese language
chv	sn	Chuvash
chv	sn	Chuvash language
chw	sn	Chuwabo
chw	sn	Chuwabo language
cia	sn	Cia-cia
cia	sn	Cia-cia language
swh	sn	Cifundi
swh	sn	Cifundi dialect
cim	sn	Cimbrian
cim	sn	Cimbrian language
sun	sn	Cirebon
sun	sn	Cirebon dialect
clm	sn	Clallam
clm	sn	Clallam language
xcl	sn	Classical Armenian
xcw	sn	Coahuilteco
xcw	sn	Coahuilteco language
cod	sn	Cocama
cod	sn	Cocama language
coj	sn	Cochimi
coj	sn	Cochimi language
coc	sn	Cocopa
coc	sn	Cocopa language
crd	sn	Coeur d'Alene
crd	sn	Coeur d'Alene language
con	sn	Cofa?n
con	sn	Cofa?n language
cof	sn	Colorado
cof	sn	Colorado language
oka	sn	Colville
oka	sn	Colville dialect
com	sn	Comanche
com	sn	Comanche language
csz	sn	Coos
csz	sn	Coos language
cop	sn	Coptic
cop	sn	Coptic language
coq	sn	Coquille
coq	sn	Coquille language
crn	sn	Cora
crn	sn	Cora language
coe	sn	Coreguaje
coe	sn	Coreguaje language
cor	sn	Cornish
cor	sn	Cornish language
cos	sn	Corsican
cos	sn	Corsican language
csr	sn	Costa Rican Sign
csr	sn	Costa Rican Sign Language
mta	sn	Cotabato Manobo
mta	sn	Cotabato Manobo language
cow	sn	Cowlitz
cow	sn	Cowlitz language
cre	sn	Cree
cre	sn	Cree language
mus	sn	Creek
mus	sn	Creek language
cpe	sn	"Creole dialects, English"
cpf	sn	"Creole dialects, French"
cpp	sn	"Creole dialects, Portuguese"
crh	sn	Crimean Tatar
crh	sn	Crimean Tatar language
pov	sn	Crioulo
pov	sn	Crioulo language
hrv	sn	Croatian
hrv	sn	Croatian language
cro	sn	Crow
cro	sn	Crow language
cua	sn	Cua
cua	sn	Cua language
kwi	sn	Cuaiquer
kwi	sn	Cuaiquer language
cub	sn	Cubeo
cub	sn	Cubeo language
acr	sn	Cubulco Achi
acr	sn	Cubulco Achi Language
cuk	sn	Cueva
cuk	sn	Cueva language
cui	sn	Cuiba
cui	sn	Cuiba language
cut	sn	Cuicatec
cux	sn	Cuicatec
cut	sn	Cuicatec language
cux	sn	Cuicatec language
cul	sn	Culina
cul	sn	Culina language
cuk	sn	Cuna
cuk	sn	Cuna language
cup	sn	Cupen?o
cup	sn	Cupen?o language
esu	sn	Cup?ig
esu	sn	Cup?ig dialect
xcu	sn	Curonian
xcu	sn	Curonian language
kpc	sn	Curripaco
kpc	sn	Curripaco language
cus	sn	Cushitic languages
cyo	sn	Cuyunon
cyo	sn	Cuyunon language
ces	sn	Czech
ces	sn	Czech language
kzf	sn	Daa
kzf	sn	Daa language
dbq	sn	Daba
dbq	sn	Daba (Cameroon and Nigeria)
dbq	sn	Daba language (Cameroon and Nigeria)
dav	sn	Dabida
dav	sn	Dabida dialect
xdc	sn	Dacian
xdc	sn	Dacian language
god	sn	Dadjriwale?
god	sn	Dadjriwale? dialect
dap	sn	Dafla
dap	sn	Dafla language
dgz	sn	Daga
dgz	sn	Daga language
dga	sn	Dagaare
dgi	sn	Dagaare
dga	sn	Dagaare language
dgi	sn	Dagaare language
dag	sn	Dagbani
dag	sn	Dagbani language
dta	sn	Dagur
dta	sn	Dagur language
dal	sn	Dahalo
dal	sn	Dahalo language
btd	sn	Dairi Pakpak
btd	sn	Dairi Pakpak dialect
dcc	sn	Dakhini
dcc	sn	Dakhini language
dak	sn	Dakota
dak	sn	Dakota language
dlm	sn	Dalmatian
dlm	sn	Dalmatian language (Romance)
mbp	sn	Damana
mbp	sn	Damana language
dms	sn	Dampelasa
dms	sn	Dampelasa language
daf	sn	Dan
daf	sn	Dan (Co?te d'Ivoire)
daf	sn	Dan language (Co?te d'Ivoire)
daa	sn	Dangaleat
daa	sn	Dangaleat language
dna	sn	Dani
dni	sn	Dani
dnt	sn	Dani
dnw	sn	Dani
dna	sn	Dani language
dni	sn	Dani language
dnt	sn	Dani language
dnw	sn	Dani language
dan	sn	Danish
dan	sn	Danish language
dsl	sn	Danish Sign
dsl	sn	Danish Sign Language
sip	sn	Da?njong-ka?
sip	sn	Da?njong-ka? language
dhw	sn	Danuwar Rai
dhw	sn	Danuwar Rai language
dry	sn	Darai
dry	sn	Darai language
dar	sn	Dargwa
dar	sn	Dargwa language
prs	sn	Dari
prs	sn	Dari language
mps	sn	Daribi
mps	sn	Daribi language
drh	sn	Darkhat
drh	sn	Darkhat language
bjy	sn	Darumbal
bjy	sn	Darumbal language
dsh	sn	Dasenech
dsh	sn	Dasenech language
kwa	sn	Da?w
kwa	sn	Da?w language
dww	sn	Dawawa
dww	sn	Dawawa language
dai	sn	Day
dai	sn	Day (Chad)
dai	sn	Day language (Chad)
knx	sn	Dayak
knx	sn	Dayak language
dzd	sn	Dazaga
dzd	sn	Dazaga language
ded	sn	Dedua
ded	sn	Dedua language
ing	sn	Deg Hit'an
ing	sn	Deg Hit'an language
deg	sn	Degema
deg	sn	Degema language
vas	sn	Dehawali
vas	sn	Dehawali dialect
dhv	sn	Dehu
dhv	sn	Dehu language
del	sn	Delaware
del	sn	Delaware language
zlm	sn	Deli
zlm	sn	Deli dialect
khr	sn	Delki Khadia
khr	sn	Delki Khadia dialect
ntr	sn	Delo
ntr	sn	Delo language
tfn	sn	Dena'ina
tfn	sn	Dena'ina language
ddn	sn	Dendi
ddn	sn	Dendi dialect
dez	sn	Dengese
dez	sn	Dengese language
der	sn	Deori
der	sn	Deori language
des	sn	Desana
des	sn	Desana language
bgc	sn	Deswali
bgc	sn	Deswali dialect
dee	sn	Dewoin
dee	sn	Dewoin language
dhl	sn	Dhalandji
dhl	sn	Dhalandji language
tbh	sn	Dharawal
tbh	sn	Dharawal language
ksk	sn	Dhegiha
oma	sn	Dhegiha
osa	sn	Dhegiha
qua	sn	Dhegiha
ksk	sn	Dhegiha language
oma	sn	Dhegiha language
osa	sn	Dhegiha language
qua	sn	Dhegiha language
dhi	sn	Dhimal
dhi	sn	Dhimal dialect
dho	sn	Dhodia
dho	sn	Dhodia dialect
dhu	sn	Dhurga
dhu	sn	Dhurga language
duj	sn	Dhuwal
duj	sn	Dhuwal language
mbd	sn	Dibabawon
mbd	sn	Dibabawon language
dic	sn	Dida
gud	sn	Dida
ney	sn	Dida
dic	sn	Dida language
gud	sn	Dida language
ney	sn	Dida language
did	sn	Didinga
did	sn	Didinga language
ddo	sn	Dido
ddo	sn	Dido language
mhu	sn	Digaro
mhu	sn	Digaro language
dig	sn	Digo
dig	sn	Digo language
bta	sn	Dii
bta	sn	Dii language
dis	sn	Dimasa
dis	sn	Dimasa language
diz	sn	Ding
diz	sn	Ding language
mwr	sn	Dingal
mwr	sn	Dingal language
din	sn	Dinka
din	sn	Dinka language
dyu	sn	Diola
csk	sn	Diola Kasa
csk	sn	Diola Kasa language
dyu	sn	Diola language
diu	sn	Diriku
diu	sn	Diriku language
div	sn	Divehi
div	sn	Divehi language
dif	sn	Diyari
dif	sn	Diyari language
mdx	sn	Dizi
mdx	sn	Dizi language
duj	sn	Djapu
duj	sn	Djapu dialect
ddj	sn	Djaru
ddj	sn	Djaru language
dyi	sn	Djimini
dyi	sn	Djimini language
dji	sn	Djinang
dji	sn	Djinang language
jig	sn	Djingili
jig	sn	Djingili language
dbl	sn	Djirbal
dbl	sn	Djirbal language
djk	sn	Djuka
djk	sn	Djuka language
kvo	sn	Dobel
kvo	sn	Dobel language
dob	sn	Dobu
dob	sn	Dobu language
dos	sn	Dogose?
dos	sn	Dogose? language
dgo	sn	Dogri
dgo	sn	Dogri dialect
dgr	sn	Dogrib
dgr	sn	Dogrib language
ngc	sn	Doko
ngc	sn	Doko (Congo)
ngc	sn	Doko language (Congo)
new	sn	Dolakha
new	sn	Dolakha dialect
dlg	sn	Dolgan
dlg	sn	Dolgan language
dmk	sn	Domaaki
dmk	sn	Domaaki language
dop	sn	Dompago
dop	sn	Dompago dialect
doc	sn	Dong
kmc	sn	Dong
doc	sn	Dong (China)
kmc	sn	Dong (China)
doc	sn	Dong language (China)
kmc	sn	Dong language (China)
kzh	sn	Dongola-Kenuz
kzh	sn	Dongola-Kenuz dialect
sce	sn	Dongxiang
sce	sn	Dongxiang language
grc	sn	Doric Greek
grc	sn	Doric Greek dialect
dow	sn	Doyayo
dow	sn	Doyayo language
dra	sn	Dravidian languages
dua	sn	Duala
dua	sn	Duala language
dud	sn	Dukawa
dud	sn	Dukawa language
dgc	sn	Dumagat (Casiguran)
due	sn	Dumagat (Umirey)
dgc	sn	Dumagat language (Casiguran)
due	sn	Dumagat language (Umirey)
duf	sn	Dumbea
duf	sn	Dumbea language
dus	sn	Dumi
dus	sn	Dumi language
duc	sn	Duna
duc	sn	Duna language
dng	sn	Dungan
dng	sn	Dungan language
duh	sn	Dungra Bhil
duh	sn	Dungra Bhil language
duo	sn	Dupaninan Agta
duo	sn	Dupaninan Agta language
dug	sn	Duruma
dug	sn	Duruma language
dtb	sn	Dusun
kqt	sn	Dusun
kzj	sn	Dusun
dun	sn	Dusun Deyah
dun	sn	Dusun Deyah dialect
dtb	sn	Dusun language
kqt	sn	Dusun language
kzj	sn	Dusun language
nld	sn	Dutch
nld	sn	Dutch language
dse	sn	Dutch Sign
dse	sn	Dutch Sign Language
wkw	sn	Duungidjawu
wkw	sn	Duungidjawu dialect
dya	sn	Dyan
dya	sn	Dyan language
dyu	sn	Dyula
dyu	sn	Dyula language
dzo	sn	Dzongkha
dzo	sn	Dzongkha language
hye	sn	East Armenian
hye	sn	East Armenian dialect
frs	sn	East Frisian
frs	sn	East Frisian dialect
mky	sn	East Makian
mky	sn	East Makian language
wls	sn	East Uvean
wls	sn	East Uvean language
aer	sn	Eastern Arrernte
aer	sn	Eastern Arrernte language
bkb	sn	Eastern Bontoc
bkb	sn	Eastern Bontoc dialect
mng	sn	Eastern Mnong
mng	sn	Eastern Mnong language
peb	sn	Eastern Pomo
peb	sn	Eastern Pomo language
yuy	sn	Eastern Yugur
yuy	sn	Eastern Yugur language
igb	sn	Ebira
igb	sn	Ebira language
xeb	sn	Eblaite
xeb	sn	Eblaite language
bin	sn	Edo
bin	sn	Edo language
etr	sn	Edolo
etr	sn	Edolo language
dbf	sn	Edopi
dbf	sn	Edopi language
erk	sn	Efate
llp	sn	Efate
erk	sn	Efate language
llp	sn	Efate language
efi	sn	Efik
efi	sn	Efik language
ego	sn	Eggon
ego	sn	Eggon language
egy	sn	Egyptian
egy	sn	Egyptian language
eip	sn	Eipo
eip	sn	Eipo language
etu	sn	Ejagham
etu	sn	Ejagham language
eka	sn	Ekajuk
eka	sn	Ekajuk language
lol	sn	Ekonda
lol	sn	Ekonda dialect
ekp	sn	Ekpeye
ekp	sn	Ekpeye language
elx	sn	Elamite
elx	sn	Elamite language
mmw	sn	Emae
mmw	sn	Emae language
ema	sn	Emai
ema	sn	Emai dialect
ema	sn	Emai-Iuleha-Ora
ema	sn	Emai-Iuleha-Ora language
emb	sn	Embaloh
emb	sn	Embaloh language
ebu	sn	Embu
ebu	sn	Embu language
eme	sn	Emerillon
eme	sn	Emerillon language
sux	sn	Emesal
sux	sn	Emesal dialect
enb	sn	Endo
enb	sn	Endo language
enf	sn	Enets
enh	sn	Enets
enf	sn	Enets language
enh	sn	Enets language
enq	sn	Enga
enq	sn	Enga language
enn	sn	Engenni
enn	sn	Engenni language
eno	sn	Enggano
eno	sn	Enggano language
eng	sn	English
cpe	sn	English creole dialects
eng	sn	English language
pse	sn	Enim
pse	sn	Enim dialect
gey	sn	Enya
gey	sn	Enya language
sja	sn	Epena Saija
sja	sn	Epena Saija language
inm	sn	Epigraphic South Arabian
sxa	sn	Epigraphic South Arabian
xha	sn	Epigraphic South Arabian
xhd	sn	Epigraphic South Arabian
xqt	sn	Epigraphic South Arabian
inm	sn	Epigraphic South Arabian language
sxa	sn	Epigraphic South Arabian language
xha	sn	Epigraphic South Arabian language
xhd	sn	Epigraphic South Arabian language
xqt	sn	Epigraphic South Arabian language
erg	sn	Eromanga
erg	sn	Eromanga language
err	sn	Erre
err	sn	Erre language
myv	sn	Erzya
myv	sn	Erzya dialect
ish	sn	Esan
ish	sn	Esan language
ese	sn	Ese Ejja
ese	sn	Ese Ejja language
esq	sn	Esselen
esq	sn	Esselen language
est	sn	Estonian
est	sn	Estonian language
csk	sn	Esu?u?laalu
csk	sn	Esu?u?laalu dialect
ecr	sn	Eteocretan
ecr	sn	Eteocretan language
gez	sn	Ethiopic
gez	sn	Ethiopic language
eto	sn	Eton
eto	sn	Eton (Cameroon)
eto	sn	Eton language (Cameroon)
ett	sn	Etruscan
ett	sn	Etruscan language
ets	sn	Etsako
ets	sn	Etsako language
opt	sn	Eudeve
opt	sn	Eudeve language
eve	sn	Even
eve	sn	Even language
evn	sn	Evenki
evn	sn	Evenki language
ewe	sn	Ewe
ewe	sn	Ewe language
ewo	sn	Ewondo
ewo	sn	Ewondo language
eya	sn	Eyak
eya	sn	Eyak language
izi	sn	Ezaa
izi	sn	Ezaa language
mal	sn	Ezhava
mal	sn	Ezhava dialect
faf	sn	Fagani
faf	sn	Fagani language
fai	sn	Faiwol
fai	sn	Faiwol language
cfm	sn	Falam Chin
cfm	sn	Falam Chin language
fli	sn	Fali
fli	sn	Fali language
xfa	sn	Faliscan
xfa	sn	Faliscan language
fap	sn	Falor
fap	sn	Falor language
fan	sn	Fang
fan	sn	Fang language
fat	sn	Fanti
fat	sn	Fanti language
fao	sn	Faroese
fao	sn	Faroese language
faa	sn	Fasu
faa	sn	Fasu language
ddg	sn	Fataluku
ddg	sn	Fataluku language
bzg	sn	Favorlang
bzg	sn	Favorlang language
fmp	sn	Fe'fe'
fmp	sn	Fe'fe' language
hif	sn	Fiji Hindi
hif	sn	Fiji Hindi language
fij	sn	Fijian
fij	sn	Fijian language
fil	sn	Filipino
fil	sn	Filipino language
fin	sn	Finnish
fin	sn	Finnish language
fiu	sn	Finno-Ugric languages
nlg	sn	Florida
nlg	sn	Florida language
foi	sn	Foi
foi	sn	Foi language
ppo	sn	Folopa
ppo	sn	Folopa language
fon	sn	Fon
fon	sn	Fon dialect
frd	sn	Fordata
frd	sn	Fordata language
for	sn	Fore
for	sn	Fore language
yrk	sn	Forest Nenets
yrk	sn	Forest Nenets dialect
sac	sn	Fox
sac	sn	Fox language
gur	sn	Frafra
gur	sn	Frafra language
oci	sn	Franco-Provenc?al
oci	sn	Franco-Provenc?al dialects
fra	sn	French
cpf	sn	French creole dialects
fra	sn	French language
frr	sn	Frisian
fry	sn	Frisian
frr	sn	Frisian language
fry	sn	Frisian language
fur	sn	Friulian
fur	sn	Friulian dialect
ful	sn	Fula
ful	sn	Fula language
flr	sn	Fuliru
flr	sn	Fuliru language
fun	sn	Fulnio
fun	sn	Fulnio language
fvr	sn	Fur
fvr	sn	Fur language
fuu	sn	Furu
fuu	sn	Furu language
fud	sn	Futuna
fud	sn	Futuna language
fut	sn	Futuna-Aniwa
fut	sn	Futuna-Aniwa language
fuy	sn	Fuyuge
fuy	sn	Fuyuge language
pym	sn	Fyam
pym	sn	Fyam language
gnk	sn	G//ana
gnk	sn	G//ana language
gwj	sn	G/wi
gwj	sn	G/wi language
gaa	sn	Ga?
gaa	sn	Ga? language
gab	sn	Gabri
gab	sn	Gabri language
xgf	sn	Gabrielino
xgf	sn	Gabrielino language
gau	sn	Gadaba (Dravidian)
gbj	sn	Gadaba (Munda)
gau	sn	Gadaba language (Dravidian)
gbj	sn	Gadaba language (Munda)
gad	sn	Gaddang
gad	sn	Gaddang language
ged	sn	Gade
ged	sn	Gade language
gbk	sn	Gadi
gbk	sn	Gadi dialect
gaj	sn	Gadsup
gaj	sn	Gadsup language
gft	sn	Gafat
gft	sn	Gafat language
gbu	sn	Gagadu
gbu	sn	Gagadu language
gag	sn	Gagauz
gag	sn	Gagauz language
ggu	sn	Gagu
ggu	sn	Gagu language
gah	sn	Gahuku
gah	sn	Gahuku language
gbi	sn	Galela
gbi	sn	Galela language
gar	sn	Galeya
gar	sn	Galeya language
glg	sn	Galician
glg	sn	Galician language
adl	sn	Gallong
adl	sn	Gallong language
gal	sn	Galoli
gal	sn	Galoli language
dhg	sn	Galpu
dhg	sn	Galpu language
sba	sn	Gambai
sba	sn	Gambai dialect
gbl	sn	Gamit
gbl	sn	Gamit dialect
gmv	sn	Gamo
gmv	sn	Gamo (Ethiopia)
gmv	sn	Gamo language (Ethiopia)
gan	sn	Gan
gan	sn	Gan (China)
gan	sn	Gan dialects (China)
nso	sn	Gananwa
nso	sn	Gananwa dialect
lug	sn	Ganda
lug	sn	Ganda language
gnb	sn	Gangte
gnb	sn	Gangte language
nba	sn	Ganguela
nba	sn	Ganguela language
pwg	sn	Gapapaiwa
pwg	sn	Gapapaiwa language
gas	sn	Garasiya
gra	sn	Garasiya
gas	sn	Garasiya dialect
gra	sn	Garasiya dialect
gbc	sn	Garawa
gbc	sn	Garawa language
gbm	sn	Garhwali
gbm	sn	Garhwali dialect
cab	sn	Garifuna
cab	sn	Garifuna language
grt	sn	Garo
grt	sn	Garo language
oci	sn	Gascon
oci	sn	Gascon dialect
gaq	sn	Gata'
gaq	sn	Gata' language
kan	sn	Gauda
kan	sn	Gauda dialect
xcg	sn	Gaulish
xtg	sn	Gaulish
xcg	sn	Gaulish language
xtg	sn	Gaulish language
gvp	sn	Gavia?o
gvp	sn	"Gavia?o (Para?, Brazil)"
gvp	sn	"Gavia?o language (Para?, Brazil)"
ubu	sn	Gawigl
ubu	sn	Gawigl language
gyd	sn	Gayardilt
gyd	sn	Gayardilt language
gay	sn	Gayo
gay	sn	Gayo language
gbr	sn	Gbagyi
gbr	sn	Gbagyi language
bza	sn	Gbandi
bza	sn	Gbandi language
gby	sn	Gbari
gby	sn	Gbari language
gba	sn	Gbaya
gba	sn	Gbaya language
mdd	sn	Gbete
mdd	sn	Gbete dialect
gdd	sn	Gedaged
gdd	sn	Gedaged language
drs	sn	Gedeo
drs	sn	Gedeo language
mxj	sn	Geman Deng
mxj	sn	Geman Deng language
gej	sn	Gen-Gbe
gej	sn	Gen-Gbe dialect
kat	sn	Georgian
kat	sn	Georgian language
deu	sn	German
deu	sn	German language
gem	sn	Germanic languages
bdy	sn	Gidabal
bdy	sn	Gidabal dialect
gid	sn	Gidar
gid	sn	Gidar language
glk	sn	Gilaki
glk	sn	Gilaki language
gil	sn	Gilbertese
gil	sn	Gilbertese language
niv	sn	Gilyak
niv	sn	Gilyak language
gim	sn	Gimi
gim	sn	Gimi language
gin	sn	Ginukh
gin	sn	Ginukh language
nyf	sn	Giryama
nyf	sn	Giryama language
gis	sn	Gisiga
giz	sn	Gisiga
gis	sn	Gisiga language
giz	sn	Gisiga language
myx	sn	Gisu
myx	sn	Gisu language
glw	sn	Glavda
glw	sn	Glavda language
gls	sn	Glosa
gls	sn	Glosa (Artificial language)
guc	sn	Goajiro
guc	sn	Goajiro language
god	sn	Godie?
god	sn	Godie? language
gdo	sn	Godoberi
gdo	sn	Godoberi language
ank	sn	Goemai
ank	sn	Goemai language
gog	sn	Gogo
gog	sn	Gogo language
ggw	sn	Gogodala
ggw	sn	Gogodala language
gkn	sn	Gokana
gkn	sn	Gokana language
gol	sn	Gola
gol	sn	Gola language
gvf	sn	Golin
gvf	sn	Golin dialect
bbp	sn	Go?lo
bbp	sn	Go?lo language
gon	sn	Gondi
gon	sn	Gondi language
gjn	sn	Gonja
gjn	sn	Gonja language
kiw	sn	Gope
kiw	sn	Gope dialect
hac	sn	Gorani
hac	sn	Gorani language
gor	sn	Gorontalo
gor	sn	Gorontalo language
got	sn	Gothic
got	sn	Gothic language
grb	sn	Grebo
grb	sn	Grebo language
grc	sn	"Greek language, Biblical"
grc	sn	"Greek language, Hellenistic (300 B.C.-600 A.D.)"
grc	sn	"Greek language, Medieval and late"
uum	sn	Greek Tatar
uum	sn	Greek Tatar language
ell	sn	"Greek,  Modern"
gwx	sn	Gua
gwx	sn	Gua language
guh	sn	Guahibo
guh	sn	Guahibo language
gvc	sn	Guanano
gvc	sn	Guanano language
gnc	sn	Guanche
gnc	sn	Guanche language
grn	sn	Guarani
grn	sn	Guarani language
gyr	sn	Guarayo
gyr	sn	Guarayo language
var	sn	Guariji?o
var	sn	Guariji?o language
gut	sn	Guatuso
gut	sn	Guatuso language
guo	sn	Guayabero
guo	sn	Guayabero language
guq	sn	Guayaki
guq	sn	Guayaki language
gym	sn	Guaymi
gym	sn	Guaymi language
gde	sn	Gude
gde	sn	Gude language
ktd	sn	Gugada
ktd	sn	Gugada dialect
ghs	sn	Guhu-Samane
ghs	sn	Guhu-Samane language
guj	sn	Gujarati
guj	sn	Gujarati language
gju	sn	Gujuri
gju	sn	Gujuri language
gvs	sn	Gumasi
gvs	sn	Gumasi language
gnn	sn	Gumatj
gnn	sn	Gumatj language
gyf	sn	Gungabula
gyf	sn	Gungabula language
guw	sn	Gun-Gbe
guw	sn	Gun-Gbe language
gni	sn	Gunian
gni	sn	Gunian language
yas	sn	Gunu
yas	sn	Gunu language
gup	sn	Gunwinggu
gup	sn	Gunwinggu language
gyy	sn	Gunya
gyy	sn	Gunya language
guf	sn	Gupapuyngu
guf	sn	Gupapuyngu language
gnr	sn	Gureng Gureng
gnr	sn	Gureng Gureng language
kat	sn	Gurian
kat	sn	Gurian dialect
gue	sn	Gurindji
gue	sn	Gurindji language
gux	sn	Gurma
gux	sn	Gurma language
ggn	sn	Gurung
gvr	sn	Gurung
ggn	sn	Gurung language
gvr	sn	Gurung language
