# LCSH data (09-09-2009)		
# Identifier	NameType	NameString
ase	sn	American Sign Language
ifa	sn	Amganad Ifugao
ifa	sn	Amganad Ifugao dialect
amh	sn	Amharic
amh	sn	Amharic language
amy	sn	Ami (Australia)
amy	sn	Ami language (Australia)
ciw	sn	Amikwa
ciw	sn	Amikwa language
ami	sn	Amis
ami	sn	Amis language
kal	sn	Ammassalimiut
kal	sn	Ammassalimiut dialect
apz	sn	Ampale
apz	sn	Ampale language
ame	sn	Amuesha
ame	sn	Amuesha language
amu	sn	Amuzgo
azg	sn	Amuzgo
azm	sn	Amuzgo
amu	sn	Amuzgo language
azg	sn	Amuzgo language
azm	sn	Amuzgo language
akg	sn	Anakalang
akg	sn	Anakalang dialect
anm	sn	Anal
anm	sn	Anal language
xmk	sn	Ancient Macedonian
ano	sn	Andoque
ano	sn	Andoque language
aty	sn	Aneityum
aty	sn	Aneityum language
anz	sn	Anem
anz	sn	Anem language
aby	sn	Aneme Wake
aby	sn	Aneme Wake language
ane	sn	Anesu
ane	sn	Anesu language
akh	sn	Angal Heneng
akh	sn	Angal Heneng language
njm	sn	Angami
njm	sn	Angami language
anc	sn	Angas
anc	sn	Angas language
agg	sn	Anggor
agg	sn	Anggor language
anp	sn	Angika
anp	sn	Angika language
akb	sn	Angkola
akb	sn	Angkola dialect
xno	sn	Anglo-Norman
xno	sn	Anglo-Norman dialect
aid	sn	Anguthimri
lnj	sn	Anguthimri
aid	sn	Anguthimri language
lnj	sn	Anguthimri language
aoi	sn	Anindilyakwa
aoi	sn	Anindilyakwa language
aak	sn	Ankave
aak	sn	Ankave language
amx	sn	Anmatyerre
amx	sn	Anmatyerre language
fab	sn	Annobon
fab	sn	Annobon dialect
bjq	sn	Antaisaka
bjq	sn	Antaisaka dialect
tdx	sn	Antandroy
tdx	sn	Antandroy dialect
anu	sn	Anuak
anu	sn	Anuak language
cko	sn	Anufo
cko	sn	Anufo dialect
aud	sn	Anuta
aud	sn	Anuta language
ken	sn	Anyang
ken	sn	Anyang language
any	sn	Anyi
any	sn	Anyi language
njo	sn	Ao
njo	sn	Ao language
aom	sn	Aomie
aom	sn	Aomie language
apa	sn	Apache languages
xap	sn	Apalachee
xap	sn	Apalachee language
apy	sn	Apalai
apy	sn	Apalai language
apt	sn	Apatani
apt	sn	Apatani language
app	sn	Apma
app	sn	Apma language
ard	sn	Arabana
ard	sn	Arabana language
arl	sn	Arabela
arl	sn	Arabela language
ara	sn	Arabic
ara	sn	Arabic language
arg	sn	Aragonese
arg	sn	Aragonese language
rki	sn	Arakanese
rki	sn	Arakanese language
akr	sn	Araki
akr	sn	Araki language
arc	sn	Aramaic
arc	sn	Aramaic language
aro	sn	Araona
aro	sn	Araona language
arp	sn	Arapaho
arp	sn	Arapaho language
hug	sn	Arasa
hug	sn	Arasa language
arw	sn	Arawak
arw	sn	Arawak language
awd	sn	Arawakan languages
arv	sn	Arbore
arv	sn	Arbore language
aqc	sn	Archi
aqc	sn	Archi language
pka	sn	Ardhamagadhi
pka	sn	Ardhamagadhi language
mar	sn	Are
mar	sn	Are dialect
alu	sn	Areare
alu	sn	Areare language
aoc	sn	Arecuna
aoc	sn	Arecuna dialect
gae	sn	Arekena
gae	sn	Arekena language
agj	sn	Argobba
agj	sn	Argobba language
laz	sn	Aribwatsa
laz	sn	Aribwatsa language
ari	sn	Arikara
ari	sn	Arikara language
hye	sn	Armenian
hye	sn	Armenian language
xcl	sn	"Armenian language, Classical"
hye	sn	"Armenian language, Modern"
axm	sn	"Armenian, Middle"
rup	sn	Aromanian
rup	sn	Aromanian dialect
apr	sn	Arop-Lokep
apr	sn	Arop-Lokep language
aia	sn	Arosi
aia	sn	Arosi language
aso	sn	Asaro
aso	sn	Asaro language
asl	sn	Asilulu
asl	sn	Asilulu language
asc	sn	Asmat
asy	sn	Asmat
cns	sn	Asmat
nks	sn	Asmat
asc	sn	Asmat language
asy	sn	Asmat language
cns	sn	Asmat language
nks	sn	Asmat language
asm	sn	Assamese
asm	sn	Assamese language
asb	sn	Assiniboine
asb	sn	Assiniboine dialect
ppt	sn	Asu
ppt	sn	Asu language
asr	sn	Asuri
asr	sn	Asuri language
atd	sn	Ata Manobo
atd	sn	Ata Manobo language
kuz	sn	Atacameno
kuz	sn	Atacameno language
aqp	sn	Atakapa
aqp	sn	Atakapa language
tay	sn	Atayal
tay	sn	Atayal language
upv	sn	Atchin
upv	sn	Atchin language
ath	sn	Athapascan languages
aph	sn	Athpare
aph	sn	Athpare language
atj	sn	Atikamekw
atj	sn	Atikamekw language
bld	sn	Atinggola
bld	sn	Atinggola language
epi	sn	Atisa
epi	sn	Atisa language
adz	sn	Atsera
adz	sn	Atsera language
