Archive_ID	RepositoryName
226	Digital Library of Zielona Góra
542	Digital Repository at Nanyang Technological University
611	Digital Repository at Nanyang Technological University
20	DigitalCommons@Bryant University
86	DigitalCommons@CalPoly
33	DigitalCommons@Fayetteville State University
232	DigitalCommons@ILR
76	DigitalCommons@Pace
263	DigitalCommons@Providence
241	DigitalCommons@The Texas Medical Center 
344	DigitalCommons@UConn
333	DigitalCommons@UM Law
191	DigitalCommons@University of Rhode Island
44	DigitalCommons@UTEP
90	Digitale Bibliothek Thüringen
712	DIGITUM: Universidad de Murcia
619	Dirección de Información, Documentación y Biblioteca UNEFM
692	DiscoverArchive at Vanderbilt University
384	dispute
416	Dissertations of the Universiteit van Amsterdam
224	dKNAV
378	DMG-Lib OAI Repository, Documents of the Digital Mechanism and Gear Library
627	DocTA - Doctoral Theses Archive
525	DOI Serbia
436	Dokumenten- und Publikationsserver Qucosa, Dresden, GERMANY, Document Server
66	Dokumenten- und Publikationsserver(HSSS) SLUB Dresden, GERMANY, Document Server
273	Dolnośląska Digital Library
276	DORAS
569	Doshisha University Academic Repository
304	DRCMR eprints
392	DRS at National Institute Of Oceanography
598	DSpace - Universidade do Porto 
505	DSpace a Parma
509	DSpace at Bromley College
544	DSpace at Cambridge
387	DSpace at Drake University
465	DSpace at ITG
664	DSpace at Kitware 
581	DSpace at My IUP
657	DSpace at My University
486	DSpace at Nagoya University
626	Dspace at Oregon State University
508	DSpace at School of Computing, NUS
479	DSpace at Tartu University Library
468	Dspace at the University of Namibia Library 
401	DSpace at the University of Saskatchewan
694	DSpace at the University of Washington Health Sciences Libraries
603	DSpace at University Leiden
719	DSpace at Utrecht University
589	DSpace at Waseda University
683	DSpace at Wesleyan University
554	DSpace at Xiamen University Library
502	DSpace en ESPOL
530	DSpaceUNM
222	DuEPublico: University of Duisburg-Essen Publications Online
382	DukeSpace at Duke University
562	DUO: Digital Library at the University of Oslo
250	Durham Research Online
711	E-archives at Purdue University Libraries
659	E-Archivo. Archivo Abierto Institucional de la Universidad Carlos III de Madrid
54	E-Prints Complutense
614	EagleSpace at Eastern Michigan University
454	Earth-prints
43	Eberhard Karls Universität Tübingen Open Archive Repository 1
494	eBooks@Adelaide : The University of Adelaide Library Electronic Text Collection
491	ECNIS Repository
17	Ecology and Society
246	eCommons@Texas State University
681	edocUR - Universidad del Rosario
574	EDUDOC
193	Egnosis
476	EJCE_repository
380	Eldorado
204	electronic Journal of Health Informatics
68	Electronic Thesis and Dissertation Archive
27	Elektronisches Publikationsportal der Österreichischen Akademie der Wissenschaften
237	Elpub : Digital Library :\n 
533	Em Questão
296	EMD Fundacion Sancho el Sabio Fundazioa
156	English Heritage
570	Entrepot OAI de l'Ecole nationale des chartes
705	Environmental Quality Laboratory Technical Reports
638	EPA OAI Archive
80	EPRESS Journals Online
238	ePrints@OUDIR
239	Epsilon Dissertations and Graduate Theses Archive
490	Epsilon Open Archive
323	Epsilon Undergraduate Theses Archive
291	ePub-WU OAI Archive (Vienna Univ. of Econ. and B.A.)
63	ePublications@Bond University
123	ePublications@SCU
207	Eres : Digital Library :\n 
145	ERPA European Research Papers Archive
358	ERPAePRINTS Service
45	eScholar@Salve Regina
8	eScholarship at Boston College
306	eScholarship@OUDIR : Okayama University Digital Information Repository
438	espace at MMU
427	ETD
545	ETH E-Collection
87	ETSU Electronic Thesis and Dissertation Archive
506	Eureka at ATEI-TH
289	FAOBIB
331	FEUP Institutional Repository
371	Fondo Fotográfico de la Universidad de Navarra
311	Forschungs- und Experteninformationssystem Universitaet Bremen
415	Fraunhofer-ePrints
710	Fraunhofer-Publica
698	Fukushima University Repository
564	GA-media Educational and Architectural ressources
62	GAP - German Academic Publishers
688	Gazi Universitesi Acikarsiv
153	Genealogie Online publicaties
538	General Teaching Council for Northern Ireland Repository
510	GEO-LEO e-docs
381	Georgia Tech's Institutional Repository
693	Gettysburg College
94	Giessener Elektronische Bibliothek
203	Giessener Papyri- und Ostrakadatenbank
496	Gifu University Repository
593	Glamorgan DSpace
243	Glasgow University Theses Repository
521	GloPAD OAI Repository, Global Performing Arts Database
720	Griffith Research Online
236	Gruppo Italiano Frattura
463	Hahn-Meitner-Institut Berlin, Publications
347	HAL - INRIA - ©HAL
60	HAL-IN2P3 - ©HAL
690	HamaMed-repository
675	Harvard Smithsonian Digital Video Library
364	Harvard University Library Virtual Collections
492	Hedatuz
349	Heinrich-Heine-University Duesseldorf, Germany, Online Publications
34	HELIN Digital Commons
528	Helsebibliotekets Research Archive
38	Helsinki University of Technology (FI), Institutional Repository
132	Hemeroteca Científica Catalana
601	Herbert Simon Collection; Carnegie Mellon University Archives
431	HERMES-IR
58	HighWire Press OAI Repository
512	Hindawi
610	Hirosaki University Repository for Academic Resources
205	Hiroshima University Institutional Repository
519	Hokkaido University Collection of Scholarly and Academic Papers
495	Home DSpace INRA Avignon
402	Hong Kong University Theses Online
281	Horizon / Pleins Textes - Fonds documentaire de l'IRD
439	Hosei University Repository
235	Hrcak - Portal of scientific journals of Croatia
