Africa	Nigeria	agc	Niger-Congo	70000
Pacific	Papua New Guinea	agd	Trans-New Guinea	27000
Pacific	Papua New Guinea	age	Trans-New Guinea	18600
Asia	Indonesia	agf	Austronesian	150
Pacific	Papua New Guinea	agg	Senagi	1270
Africa	Democratic Republic of the Congo	agh	Niger-Congo	13600
Asia	India	agi	Austro-Asiatic	72000
Africa	Ethiopia	agj	Afro-Asiatic	10900
Asia	Philippines	agk	Austronesian	6
Pacific	Papua New Guinea	agl	Trans-New Guinea	350
Pacific	Papua New Guinea	agm	Trans-New Guinea	2100
Asia	Philippines	agn	Austronesian	15000
Pacific	Papua New Guinea	ago	Trans-New Guinea	1000
Asia	Philippines	agp	Austronesian	16700
Africa	Cameroon	agq	Niger-Congo	26700
Americas	Peru	agr	Jivaroan	38300
Africa	Cameroon	ags	Niger-Congo	20000
Asia	Philippines	agt	Austronesian	780
Americas	Guatemala	agu	Mayan	18000
Asia	Philippines	agv	Austronesian	2530
Pacific	Solomon Islands	agw	Austronesian	5170
Europe	Russian Federation	agx	North Caucasian	28332
Asia	Philippines	agy	Austronesian	1000
Asia	Philippines	agz	Austronesian	1500
Africa	Ghana	aha	Niger-Congo	142000
Pacific	Vanuatu	ahb	Austronesian	750
Africa	Ethiopia	ahg	Afro-Asiatic	1650
Asia	Indonesia	ahh	Trans-New Guinea	3000
Africa	Cote dIvoire	ahi	Niger-Congo	9000
Asia	Myanmar	ahk	Sino-Tibetan	563960
Africa	Togo	ahl	Niger-Congo	6000
Africa	Cote dIvoire	ahm	Niger-Congo	2000
Africa	Nigeria	ahn	Niger-Congo	300
Africa	Cote dIvoire	ahp	Niger-Congo	6500
Asia	India	ahr	Indo-European	779000
Africa	Nigeria	ahs	Niger-Congo	35000
Americas	United States	aht	Na-Dene	35
Pacific	Solomon Islands	aia	Austronesian	6750
Asia	China	aib	Altaic	6570
Pacific	Papua New Guinea	aic	Border	100
Pacific	Papua New Guinea	aie	Austronesian	1170
Pacific	Papua New Guinea	aif	Torricelli	960
Americas	Antigua and Barbuda	aig	Creole	125270
Asia	China	aih	Tai-Kadai	2700
Asia	Iraq	aii	Afro-Asiatic	219330
Asia	Israel	aij	Afro-Asiatic	2250
Africa	Nigeria	aik	Niger-Congo	3000
Pacific	Papua New Guinea	ail	Trans-New Guinea	140
Asia	India	aim	Sino-Tibetan	2640
Asia	Japan	ain	Language isolate	15
Asia	India	aio	Tai-Kadai	1500
Asia	Indonesia	aip	Trans-New Guinea	40
Asia	Afghanistan	aiq	Indo-European	650000
Asia	Indonesia	air	Tor-Kwerba	1000
Asia	Taiwan	ais	Austronesian	5
Africa	Ethiopia	aiw	Afro-Asiatic	155000
Pacific	Papua New Guinea	aix	Austronesian	2000
Africa	Central African Republic	aiy	Niger-Congo	35000
Africa	Sudan	aja	Nilo-Saharan	200
Africa	Benin	ajg	Niger-Congo	512000
Pacific	New Caledonia	aji	Austronesian	4040
Asia	Jordan	ajp	Afro-Asiatic	6200000
Asia	Israel	ajt	Afro-Asiatic	352500
Asia	Israel	aju	Afro-Asiatic	258930
Asia	India	ajz	Sino-Tibetan	125000
Africa	Ghana	aka	Niger-Congo	8300000
Asia	Indonesia	akb	Austronesian	750000
Asia	Indonesia	akc	Language isolate	7000
Africa	Nigeria	akd	Niger-Congo	11400
Americas	Guyana	ake	Carib	5350
Africa	Nigeria	akf	Niger-Congo	26900
Asia	Indonesia	akg	Austronesian	14000
Pacific	Papua New Guinea	akh	Trans-New Guinea	40000
Pacific	Papua New Guinea	aki	Ramu-Lower Sepik	750
Asia	Philippines	akl	Austronesian	395000
Americas	Suriname	ako	Carib	10
Africa	Ghana	akp	Niger-Congo	27000
Pacific	Papua New Guinea	akq	Sepik	75
Pacific	Vanuatu	akr	Austronesian	8
Africa	Togo	aks	Niger-Congo	47500
Pacific	Papua New Guinea	akt	Austronesian	950
Africa	Cameroon	aku	Niger-Congo	1400
Europe	Russian Federation	akv	North Caucasian	6500
Africa	Congo	akw	Niger-Congo	24100
Americas	United States	akz	Muskogean	100
Africa	Nigeria	ala	Niger-Congo	35100
Americas	Chile	alc	Alacalufan	12
Africa	Cote dIvoire	ald	Niger-Congo	23000
Americas	United States	ale	Eskimo-Aleut	490
Africa	Nigeria	alf	Niger-Congo	1200
Pacific	Australia	alh	Australian	17
Pacific	Papua New Guinea	ali	Trans-New Guinea	1780
Asia	Philippines	alj	Austronesian	7690
Asia	Laos	alk	Austro-Asiatic	4000
Asia	India	all	Dravidian	350
Pacific	Vanuatu	alm	Austronesian	300
Europe	Serbia	aln	Indo-European	4156090
Asia	Indonesia	alo	Austronesian	12600
Asia	Indonesia	alp	Austronesian	17200
Americas	Canada	alq	Algic	2430
Asia	Russian Federation	alr	Chukotko-Kamchatkan	150
Europe	Albania	als	Indo-European	3035000
Asia	Russian Federation	alt	Altaic	20000
Pacific	Solomon Islands	alu	Austronesian	17900
Africa	Ethiopia	alw	Afro-Asiatic	162000
Pacific	Papua New Guinea	alx	Torricelli	270
