Language	Level	Type	Code	Name
mqk	3	G	pqw	Western Malayo-Polynesian
mqk	4	G	phi	Philippine
mqk	5	G	mno	Manobo
mqk	6	I	mqk	Rajah Kabunsuwan Manobo
mql	1	G	nic	Niger-Kordofanian
mql	2	G	alv	Atlantic-Congo
mql	3	I	mql	Mbelime
mqm	1	G	map	Austronesian
mqm	2	G	poz	Malayo-Polynesian
mqm	3	G	pqe	Eastern Malayo-Polynesian
mqm	4	I	mqm	South Marquesan
mqn	1	G	map	Austronesian
mqn	2	I	mqn	Moronene
mqo	1	G	paa	Papuan
mqo	2	I	mqo	Modole
mqp	1	G	map	Austronesian
mqp	2	G	poz	Malayo-Polynesian
mqp	3	G	plf	Central Malayo-Polynesian
mqp	4	I	mqp	Manipa
mqq	1	G	map	Austronesian
mqq	2	I	mqq	Minokok
mqr	1	G	paa	Papuan
mqr	2	G	ngf	Trans-New Guinea
mqr	3	I	mqr	Mander
mqs	1	G	paa	Papuan
mqs	2	I	mqs	West Makian
mqt	1	G	aav	Austro-Asiatic
mqt	2	G	mkh	Mon-Khmer
mqt	3	I	mqt	Mok
