Language	Level	Type	Code	Name
mie	2	I	mie	Ocotepec Mixtec
mif	1	G	afa	Afro-Asiatic
mif	2	I	mif	Mofu-Gudur
mig	1	G	cai	Central American Indian
mig	2	I	mig	San Miguel El Grande Mixtec
mih	1	G	cai	Central American Indian
mih	2	I	mih	Chayuco Mixtec
mii	1	G	cai	Central American Indian
mii	2	I	mii	Chigmecatitlán Mixtec
mij	1	G	nic	Niger-Kordofanian
mij	2	G	alv	Atlantic-Congo
mij	3	G	bnt	Bantu
mij	4	I	mij	Abar
mik	1	G	nai	North American Indian
mik	2	I	mik	Mikasuki
mil	1	G	cai	Central American Indian
mil	2	I	mil	Peñoles Mixtec
mim	1	G	cai	Central American Indian
mim	2	I	mim	Alacatlatzala Mixtec
min	1	G	map	Austronesian
min	2	G	poz	Malayo-Polynesian
min	3	I	min	Minangkabau
mio	1	G	cai	Central American Indian
mio	2	I	mio	Pinotepa Nacional Mixtec
mip	1	G	cai	Central American Indian
mip	2	I	mip	Apasco-Apoala Mixtec
miq	1	G	cai	Central American Indian
miq	2	I	miq	Mískito
mir	1	G	cai	Central American Indian
mir	2	I	mir	Isthmus Mixe
mit	1	G	cai	Central American Indian
mit	2	I	mit	Southern Puebla Mixtec
miu	1	G	cai	Central American Indian
miu	2	I	miu	Cacaloxtepec Mixtec
miv	1	G	ssa	Nilo-Saharan
miv	2	I	miv	Mimi
miw	1	G	paa	Papuan
miw	2	G	ngf	Trans-New Guinea
miw	3	I	miw	Akoye
mix	1	G	cai	Central American Indian
mix	2	I	mix	Mixtepec Mixtec
miy	1	G	cai	Central American Indian
miy	2	I	miy	Ayutla Mixtec
miz	1	G	cai	Central American Indian
miz	2	I	miz	Coatzospan Mixtec
mja	1	G	sit	Sino-Tibetan
mja	2	G	tbq	Tibeto-Burman
mja	3	I	mja	Mahei
mjc	1	G	cai	Central American Indian
mjc	2	I	mjc	San Juan Colorado Mixtec
mjd	1	G	nai	North American Indian
mjd	2	I	mjd	Northwest Maidu
mje	1	G	afa	Afro-Asiatic
mje	2	I	mje	Muskum
mjg	1	G	tut	Altaic
mjg	2	I	mjg	Tu
mjh	1	G	nic	Niger-Kordofanian
mjh	2	G	alv	Atlantic-Congo
mjh	3	I	mjh	Mwera (Nyasa)
mji	1	G	hmx	Hmong-Mien
mji	2	I	mji	Kim Mun
mjj	1	G	paa	Papuan
mjj	2	G	ngf	Trans-New Guinea
mjj	3	I	mjj	Mawak
mjk	1	G	map	Austronesian
mjk	2	G	poz	Malayo-Polynesian
mjk	3	G	pqe	Eastern Malayo-Polynesian
mjk	4	I	mjk	Matukar
mjl	1	G	ine	Indo-European
mjl	2	G	iir	Indo-Iranian
mjl	3	G	inc	Indic
mjl	4	I	mjl	Mandeali
mjm	1	G	map	Austronesian
mjm	2	G	poz	Malayo-Polynesian
mjm	3	G	pqe	Eastern Malayo-Polynesian
mjm	4	I	mjm	Medebur
mjn	1	G	paa	Papuan
mjn	2	G	ngf	Trans-New Guinea
mjn	3	I	mjn	Ma (Papua New Guinea)
mjo	1	G	dra	Dravidian
mjo	2	I	mjo	Malankuravan
mjp	1	G	dra	Dravidian
mjp	2	I	mjp	Malapandaram
mjq	1	G	dra	Dravidian
mjq	2	I	mjq	Malaryan
mjr	1	G	dra	Dravidian
mjr	2	I	mjr	Malavedan
mjs	1	G	afa	Afro-Asiatic
mjs	2	I	mjs	Miship
mjt	1	G	dra	Dravidian
mjt	2	I	mjt	Sauria Paharia
mju	1	G	dra	Dravidian
mju	2	I	mju	Manna-Dora
mjv	1	G	dra	Dravidian
mjv	2	I	mjv	Mannan
mjw	1	G	sit	Sino-Tibetan
mjw	2	G	tbq	Tibeto-Burman
mjw	3	I	mjw	Karbi
mjx	1	G	aav	Austro-Asiatic
mjx	2	G	mun	Munda
mjx	3	I	mjx	Mahali
mjy	1	G	nai	North American Indian
mjy	2	G	aql	Algic
mjy	3	G	alg	Algonquian
mjy	4	I	mjy	Mahican
mjz	1	G	ine	Indo-European
mjz	2	G	iir	Indo-Iranian
mjz	3	G	inc	Indic
mjz	4	I	mjz	Majhi
mka	1	G	nic	Niger-Kordofanian
mka	2	I	mka	Mbre
mkb	1	G	ine	Indo-European
mkb	2	G	iir	Indo-Iranian
mkb	3	G	inc	Indic
mkb	4	I	mkb	Mal Paharia
mkc	1	G	paa	Papuan
mkc	2	I	mkc	Siliput
mke	1	G	ine	Indo-European
mke	2	G	iir	Indo-Iranian
mke	3	G	inc	Indic
mke	4	I	mke	Mawchi
mkf	1	G	afa	Afro-Asiatic
mkf	2	I	mkf	Miya
mkg	1	G	tai	Tai
mkg	2	I	mkg	Mak (China)
mki	1	G	ine	Indo-European
mki	2	G	iir	Indo-Iranian
mki	3	G	inc	Indic
mki	4	I	mki	Dhatki
mkj	1	G	map	Austronesian
mkj	2	G	poz	Malayo-Polynesian
mkj	3	G	pqe	Eastern Malayo-Polynesian
mkj	4	I	mkj	Mokilese
mkk	1	G	nic	Niger-Kordofanian
mkk	2	G	alv	Atlantic-Congo
mkk	3	G	bnt	Bantu
mkk	4	I	mkk	Byep
mkl	1	G	nic	Niger-Kordofanian
mkl	2	G	alv	Atlantic-Congo
mkl	3	I	mkl	Mokole
mkm	1	G	map	Austronesian
mkm	2	I	mkm	Moklen
mkn	1	G	crp	Creoles and pidgins
mkn	2	I	mkn	Kupang Malay
mko	1	G	nic	Niger-Kordofanian
mko	2	G	alv	Atlantic-Congo
mko	3	I	mko	Mingang Doso
mkp	1	G	paa	Papuan
mkp	2	G	ngf	Trans-New Guinea
mkp	3	I	mkp	Moikodi
mkq	1	G	nai	North American Indian
mkq	2	I	mkq	Bay Miwok
mkr	1	G	paa	Papuan
mkr	2	G	ngf	Trans-New Guinea
mkr	3	I	mkr	Malas
mks	1	G	cai	Central American Indian
mks	2	I	mks	Silacayoapan Mixtec
mkt	1	G	map	Austronesian
mkt	2	G	poz	Malayo-Polynesian
mkt	3	G	pqe	Eastern Malayo-Polynesian
mkt	4	I	mkt	Vamale
mku	1	M	man	Mandingo
mku	2	I	mku	Konyanka Maninka
mkv	1	G	map	Austronesian
mkv	2	G	poz	Malayo-Polynesian
mkv	3	G	pqe	Eastern Malayo-Polynesian
mkv	4	I	mkv	Mafea
mkw	1	G	crp	Creoles and pidgins
mkw	2	I	mkw	Kituba (Congo)
mkx	1	G	map	Austronesian
mkx	2	G	poz	Malayo-Polynesian
mkx	3	G	pqw	Western Malayo-Polynesian
mkx	4	G	phi	Philippine
mkx	5	G	mno	Manobo
mkx	6	I	mkx	Kinamiging Manobo
mky	1	G	map	Austronesian
mky	2	G	poz	Malayo-Polynesian
mky	3	G	pqe	Eastern Malayo-Polynesian
mky	4	I	mky	East Makian
mkz	1	G	paa	Papuan
mkz	2	G	ngf	Trans-New Guinea
mkz	3	I	mkz	Makasae
mla	1	G	map	Austronesian
mla	2	G	poz	Malayo-Polynesian
mla	3	G	pqe	Eastern Malayo-Polynesian
mla	4	I	mla	Malo
mlb	1	G	nic	Niger-Kordofanian
